"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 02 11:49:49 UTC 2026","Mon Mar 02 11:49:49 UTC 2026","667","","Create Booking - POST /booking","","Successfully create bookings at exact boundary limits","","Successfully create bookings at exact boundary limits","  As an API consumer
  I want to create hotel room bookings
  So that guests can reserve rooms with their details"
"passed","Mon Mar 02 11:49:53 UTC 2026","Mon Mar 02 11:49:53 UTC 2026","614","","Create Booking - POST /booking","","Validation rejects bookings violating field constraints","","Validation rejects bookings violating field constraints","  As an API consumer
  I want to create hotel room bookings
  So that guests can reserve rooms with their details"
"passed","Mon Mar 02 11:49:47 UTC 2026","Mon Mar 02 11:49:48 UTC 2026","1086","","Create Booking - POST /booking","","Successfully create bookings at exact boundary limits","","Successfully create bookings at exact boundary limits","  As an API consumer
  I want to create hotel room bookings
  So that guests can reserve rooms with their details"
"passed","Mon Mar 02 11:49:53 UTC 2026","Mon Mar 02 11:49:54 UTC 2026","1046","","Create Booking - POST /booking","","Validation rejects bookings violating field constraints","","Validation rejects bookings violating field constraints","  As an API consumer
  I want to create hotel room bookings
  So that guests can reserve rooms with their details"
"passed","Mon Mar 02 11:49:30 UTC 2026","Mon Mar 02 11:49:31 UTC 2026","1028","","Authentication - Token Generation","","A-02 Token generation fails with invalid or missing credentials","","A-02 Token generation fails with invalid or missing credentials",""
"passed","Mon Mar 02 11:50:05 UTC 2026","Mon Mar 02 11:50:07 UTC 2026","2113","","Update Booking - PUT and PATCH /booking/{id}","","U-01 Successfully replace a booking using PUT and verify changes via GET","","U-01 Successfully replace a booking using PUT and verify changes via GET",""
"passed","Mon Mar 02 11:50:00 UTC 2026","Mon Mar 02 11:50:02 UTC 2026","1799","","Read Booking - GET /booking/{id}","","R-01 Successfully retrieve a booking and verify exact data persistence","","R-01 Successfully retrieve a booking and verify exact data persistence",""
"passed","Mon Mar 02 11:49:29 UTC 2026","Mon Mar 02 11:49:30 UTC 2026","980","","Authentication - Token Generation","","A-02 Token generation fails with invalid or missing credentials","","A-02 Token generation fails with invalid or missing credentials",""
"passed","Mon Mar 02 11:49:42 UTC 2026","Mon Mar 02 11:49:43 UTC 2026","902","","Create Booking - POST /booking","","C-07 Document API behaviour when roomid is sent as a string instead of an integer","","C-07 Document API behaviour when roomid is sent as a string instead of an integer","  As an API consumer
  I want to create hotel room bookings
  So that guests can reserve rooms with their details"
"passed","Mon Mar 02 11:50:12 UTC 2026","Mon Mar 02 11:50:14 UTC 2026","1493","","Update Booking - PUT and PATCH /booking/{id}","","U-05 Document missing PATCH implementation","","U-05 Document missing PATCH implementation",""
"passed","Mon Mar 02 11:49:55 UTC 2026","Mon Mar 02 11:49:57 UTC 2026","2259","","Delete Booking - DELETE /booking/{id}","","D-01 Successfully delete a booking and document 201 vs 200 contract violation","","D-01 Successfully delete a booking and document 201 vs 200 contract violation",""
